,,s1,e1,s2,e2,s3,e3,s4,e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tFZjJVFgHpo,http://youtube.com/watch?v=tFZjJVFgHpo,https://youtu.be/tFZjJVFgHpo?t=21,https://youtu.be/tFZjJVFgHpo?t=195,,,,,,,2019-12-16T07:37:09Z,UCLn8FintdYEDCSK6HaX5Q4g,"""Authority vs MU-TON"" UMB2018 GRAND CHAMPIONSHIP 12/30(SUN)",3683896,36389,355,0,3654,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y31_LPHk1Ag,http://youtube.com/watch?v=Y31_LPHk1Ag,https://youtu.be/Y31_LPHk1Ag?t=106,https://youtu.be/Y31_LPHk1Ag?t=271,,,,,,,2019-12-31T08:02:51Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・ｼｪ・・･・・・ vs Authority""D UMB2018 GRAND CHAMPIONSHIP 12/30(SUN)",1237758,11913,158,0,1848,"2020/07/09 20:24
JcqP5bQ27Lk",http://youtube.com/watch?v=JcqP5bQ27Lk,https://youtu.be/JcqP5bQ27Lk?t=16,https://youtu.be/JcqP5bQ27Lk?t=167,https://youtu.be/JcqP5bQ27Lk?t=211,https://youtu.be/JcqP5bQ27Lk?t=390,,,,,2019-12-18T08:00:02Z,UCLn8FintdYEDCSK6HaX5Q4g,"""MU-TON vs ・ｴ・・｡・""2018 GRAND CHAMPIONSHIP 12/30(SUN))P 1",3709922,36610,425,0,3239,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hJq1VFAeSoI,http://youtube.com/watch?v=hJq1VFAeSoI,https://youtu.be/hJq1VFAeSoI?t=40,https://youtu.be/hJq1VFAeSoI?t=166,,,,,,,2017-07-04T07:56:19Z,UCLn8FintdYEDCSK6HaX5Q4g,"""HIDADDY vs FORK"" #003 UMB classic -GRAND CHAMPIONSHIP 2006-",487714,4850,67,0,518,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rOU2ywfLTBU,http://youtube.com/watch?v=rOU2ywfLTBU,n,,,,,,,,2015-03-25T06:37:22Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB 2014 FINAL DVD Trailer,1756504,7542,113,0,1013,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FuyYm8aRRKM,http://youtube.com/watch?v=FuyYm8aRRKM,https://youtu.be/FuyYm8aRRKM?t=106,https://youtu.be/FuyYm8aRRKM?t=249,,,,,,,2019-12-17T13:00:03Z,UCLn8FintdYEDCSK6HaX5Q4g,"""R-・・・・ｮ・ vs mol53""012 GRAND CHAMPIONSHIP 12/30(SUN)66--/",784188,6860,99,0,1350,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3SMft50yIw,http://youtube.com/watch?v=P3SMft50yIw,https://youtu.be/P3SMft50yIw?t=57,https://youtu.be/P3SMft50yIw?t=136,,,,,,,2019-12-17T13:00:03Z,UCLn8FintdYEDCSK6HaX5Q4g,"""KBD vs R-・・・・ｮ・""014 ・､ｧ・・ｪ・ｺ・・・ｸ 11/15(SAT)330(S",81456,1454,6,0,167,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VL1qABb3ziA,http://youtube.com/watch?v=VL1qABb3ziA,https://youtu.be/VL1qABb3ziA?t=53,https://youtu.be/VL1qABb3ziA?t=201,,,,,,,2017-03-25T09:24:16Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB2016 FINAL DVD TRAILER 3  -・・?・・ｼ・・・・・ｳ vs BASE-,2846044,13780,359,0,1412,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT0vsM8HCg4,http://youtube.com/watch?v=PT0vsM8HCg4https://youtu.be/PT0vsM8HCg4?t=13,,https://youtu.be/PT0vsM8HCg4?t=185,,,,,,,2019-12-17T13:00:06Z,UCLn8FintdYEDCSK6HaX5Q4g,"""KZ vs R-・・・・ｮ・""014 ・､ｧ・・ｪ・ｺ・・・ｸ 11/15(SAT) #umb #mcbattle #rapp13",126088,1673,15,0,184,"2020/07/09 20:24
q5EoCTal6z8",http://youtube.com/watch?v=q5EoCTal6z8,https://youtu.be/q5EoCTal6z8?t=14,https://youtu.be/q5EoCTal6z8?t=179,,,,,,,2019-12-17T13:00:10Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・ｭｩ・ｭｩ vs R-・・・・ｮ・""4 ・､ｧ・・ｪ・ｺ・・・ｸ 11/15 (Sat)##mcbat",373311,5052,46,0,480,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2zFIXTdaHQ,http://youtube.com/watch?v=D2zFIXTdaHQ,n,,,,,,,,2018-09-15T04:21:42Z,UCLn8FintdYEDCSK6HaX5Q4g,"NIPPS & I-DeA - Rich Man, Poor Man",343798,3859,59,0,217,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,http://youtube.com/watch?v=-1-Egvt6_Sg,https://youtu.be/-1-Egvt6_Sg?t=33,https://youtu.be/-1-Egvt6_Sg?t=246,,,,,,,2019-12-17T13:00:00Z,UCLn8FintdYEDCSK6HaX5Q4g,"""R-・・・・ｮ・ vs RITTO""012 GRAND CHAMPIONSHIP 12/30(SUN)aattl",208038,2094,23,0,332,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,http://youtube.com/watch?v=-Ayv6vwNtaA,https://youtu.be/-Ayv6vwNtaA?t=28,https://youtu.be/-Ayv6vwNtaA?t=183,,,,,,,2019-12-10T06:22:37Z,UCLn8FintdYEDCSK6HaX5Q4g,"""PONEY vs MU-TON"" UMB2018 REVENGE 12/15(SAT)",211008,1975,30,0,309,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9Jn4hGoyR7U,http://youtube.com/watch?v=9Jn4hGoyR7U,n,,,,,,,,2017-03-02T02:59:23Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB 2016 FINAL DVD Trailer,824941,3896,98,0,1258,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
